algorithm,K,M,T,delta,n,trial,seed,cumulative_regret,total_reward,total_steps,init_duration,find_good_duration,rank_duration,number_players_duration,exploration_duration,collision_count,final_assignment_success,player_count_success,rank_assignment_success,assignment_duplicate,attempt,attempts_used,retry_exhausted
huang2022,10,4,1000000,7.238241365054197e-08,1,0,20260510,291824.73333319416,184999.0,155486,30580,10800,6580,13200,124906,92363,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,1,0,20260510,291824.73333319416,184999.0,155486,30580,10800,6580,13200,124906,92363,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,2,0,20260510,190067.20000121635,252784.0,144408,21410,11520,3290,6600,122998,60501,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,3,0,20260510,502339.66666481004,275965.0,253795,40379,26752,4387,9240,213416,162585,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,4,0,20260510,484819.13333209907,171699.0,214082,37858,27968,3290,6600,176224,156235,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,5,0,20260510,473331.93333165295,271635.0,242924,37096,29184,2632,5280,205828,152409,1,1,1,0,0,1,0
huang2022,10,4,1000000,7.238241365054197e-08,1,1,20260511,298019.66666649637,185103.0,157540,30580,10800,6580,13200,126960,94150,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,1,1,20260511,298019.66666649637,185103.0,157540,30580,10800,6580,13200,126960,94150,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,2,1,20260511,183689.20000116076,246190.0,140178,21410,11520,3290,6600,118768,58738,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,3,1,20260511,238602.60000099,149619.0,126594,19734,12920,2194,4620,106860,76026,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,4,1,20260511,475716.86666550965,161469.0,207778,35578,25688,3290,6600,172200,154396,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,5,1,20260511,478648.1999987969,168075.0,210888,34664,26752,2632,5280,176224,153515,1,1,1,0,0,1,0
huang2022,10,4,1000000,7.238241365054197e-08,1,2,20260512,298263.66666649736,184859.0,157540,30580,10800,6580,13200,126960,94123,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,1,2,20260512,298263.66666649736,184859.0,157540,30580,10800,6580,13200,126960,94123,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,2,2,20260512,182892.26666735776,141052.0,105634,21410,11520,3290,6600,84224,58690,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,3,2,20260512,248500.0666677256,154693.0,131476,19734,12920,2194,4620,111742,79503,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,4,2,20260512,490278.59999820654,273303.0,248994,35578,25688,3290,6600,213416,157767,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,5,2,20260512,479011.1999987971,167712.0,210888,34664,26752,2632,5280,176224,154302,1,1,1,0,0,1,0
huang2022,10,4,1000000,7.238241365054197e-08,1,3,20260513,288121.86666693364,108852.0,129448,30580,10800,6580,13200,98868,92153,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,1,3,20260513,288121.86666693364,108852.0,129448,30580,10800,6580,13200,98868,92153,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,2,3,20260513,185751.86666786353,252622.0,142948,21410,11520,3290,6600,121538,59330,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,3,3,20260513,476878.3333321685,164101.0,209015,40379,26752,4387,9240,168636,155877,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,4,3,20260513,478425.86666549393,165752.0,210058,37858,27968,3290,6600,172200,155143,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,5,3,20260513,471012.59999883716,171405.0,209484,37096,29184,2632,5280,172388,152019,1,1,1,0,0,1,0
huang2022,10,4,1000000,7.238241365054197e-08,1,4,20260514,298483.6666664955,184639.0,157540,30580,10800,6580,13200,126960,94196,1,1,1,0,0,1,0
izumi2026,10,4,1000000,7.238241365054197e-08,1,4,20260514,298483.6666664955,184639.0,157540,30580,10800,6580,13200,126960,94196,1,1,1,0,0,1,0
