algorithm,K,M,T,delta,n,trial,seed,time,cumulative_regret,phase,attempt,attempts_used
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,0,0.0,not_started,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,3344,5363.960000000255,find_good_arm,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,6689,12422.26000000074,find_good_arm,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,10033,20247.220000001227,find_good_arm,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,13378,28074.520000001714,find_good_arm,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,16722,35899.47999999733,find_good_arm,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,20067,42743.77999998565,find_good_arm,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,23411,48166.73999997397,find_good_arm,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,26756,53516.03999996229,find_good_arm,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,30100,59411.99999995061,virtual_musical_chairs,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,33445,66038.29999993893,virtual_musical_chairs,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,36789,72668.25999992725,virtual_musical_chairs,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,40134,79270.55999991557,virtual_musical_chairs,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,43478,85876.51999990389,virtual_musical_chairs,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,46823,92479.8199998922,virtual_musical_chairs,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,50167,99119.77999988053,virtual_musical_chairs,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,53512,105748.07999986885,virtual_musical_chairs,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,56856,112402.03999985717,virtual_number_players,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,60201,119036.33999984548,virtual_number_players,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,63545,125763.2999998338,virtual_number_players,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,66890,132419.59999982212,virtual_number_players,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,70234,139184.55999981044,virtual_number_players,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,73579,145950.85999979876,virtual_number_players,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,76923,152944.81999978708,virtual_number_players,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,80268,159795.1199997754,virtual_number_players,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,83612,166843.07999976372,virtual_number_players,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,86957,173753.37999975204,virtual_number_players,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,90301,180878.33999974036,virtual_number_players,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,93645,187680.29999972868,virtual_number_players,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,96990,194614.599999717,virtual_number_players,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,100334,201494.55999970532,virtual_number_players,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,103679,208249.85999969364,virtual_number_players,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,107023,214956.81999968196,virtual_number_players,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,110368,221788.11999967028,distributed_exploration_phase1,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,113712,229613.0799996586,distributed_exploration_phase1,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,117057,237440.37999964692,distributed_exploration_phase1,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,120401,245265.33999963524,distributed_exploration_phase1,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,123746,253092.63999962356,distributed_exploration_phase1,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,127090,260917.59999961188,distributed_exploration_phase1,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,130435,268744.89999968227,distributed_exploration_phase1,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,133779,276569.8599997679,distributed_exploration_phase1,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,137124,284397.1599998536,distributed_exploration_phase1,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,140468,292222.1199999392,distributed_exploration_phase1,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,143813,300049.4200000249,distributed_exploration_phase1,0,1
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,147157,307874.38000011054,distributed_exploration_phase1,0,1
