algorithm,K,M,T,delta,n,trial,seed,time,cumulative_regret,phase,attempt,attempts_used
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,0,0.0,not_started,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,10033,61761.420689648876,find_good_arm,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,20067,151859.82068965543,find_good_arm,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,30100,241949.2413792079,find_good_arm,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,40134,332047.64137933176,find_good_arm,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,50167,384529.06206917623,find_good_arm,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,60201,445015.46206936555,virtual_musical_chairs,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,70234,531504.8827591613,virtual_musical_chairs,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,80268,617966.2827587666,virtual_musical_chairs,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,90301,704439.703448027,virtual_musical_chairs,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,100334,790887.1241372875,virtual_musical_chairs,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,110368,877390.5241368928,virtual_musical_chairs,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,120401,963869.9448261532,virtual_musical_chairs,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,130435,1050452.3448257837,virtual_number_players,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,140468,1137349.7655162122,virtual_number_players,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,150502,1224292.1655169856,virtual_number_players,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,160535,1311576.586207414,virtual_number_players,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,170569,1399362.9862081874,virtual_number_players,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,180602,1486644.4068986159,virtual_number_players,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,190635,1574390.8275890443,virtual_number_players,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,200669,1662113.2275898177,virtual_number_players,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,210702,1749135.6482802462,virtual_number_players,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,220736,1836484.0482810196,virtual_number_players,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,230769,1923295.468971448,virtual_number_players,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,240803,2009996.8689722214,virtual_number_players,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,250836,2091021.2896626499,distributed_exploration_phase1,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,260870,2181119.689663423,distributed_exploration_phase1,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,270903,2271209.1103538517,distributed_exploration_phase1,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,280936,2361298.53104428,distributed_exploration_phase1,0,1
huang2022,30,12,3000000,2.2350180212482304e-08,1,0,20260510,290970,2451396.9310450535,distributed_exploration_phase1,0,1
